text,label
"Urgent: Your account has been compromised. Reset your password now.",spam
"Don't miss out! Exclusive offer just for you.",spam
"Please find attached the report you requested.",ham
"Congratulations! You've been selected for a prize.",spam
"Can we reschedule our meeting to next Monday?",ham
"Limited time deal: Get 70% off on all electronics.",spam
"Happy Birthday! Wishing you a wonderful year ahead.",ham
"Verify your email to activate your account.",spam
"Your package is out for delivery and will arrive today.",ham
"Join us for a webinar on the latest industry trends.",ham
"Action required: Update your billing information.",spam
"Your subscription is about to expire. Renew now.",spam
"Let's catch up over coffee this weekend.",ham
"Meeting postponed to 4 PM. See you then.",ham
"Congratulations on your promotion! Well deserved.",ham
"Claim your free trial today. No credit card required.",spam
"Payment received. Thank you for your purchase.",ham
"Special discount just for you! Use code SAVE20.",spam
"Don't forget to submit your project by the deadline.",ham
"You've been invited to join our loyalty program.",spam
"Please confirm your attendance for tomorrow's event.",ham
"Activate your account now to get started.",spam
"Final reminder: Your invoice is due.",ham
"Thank you for your feedback! We appreciate it.",ham
"Win a trip to Paris! Enter the contest now.",spam
